Test_ID	Make	kW	Date_Manufacture	Seats	Fuel	List_Price	Mileage	Birth_Date	Occupation	Hobbies	Insurance_Sum	Merit_Rating	Damage_Insurance	Optional_Products	Courtesy_Car	
1	BMW	500	2/1/1982	1	Petrol	90000	100	1/1/2006	Swaziland	Employee	Bungee Jumping	35000000	Super Bonus	Partial Coverage	Euro Protection	Yes
2	BMW	800	3/4/2000	2	Diesel	500	100000	8/8/1954	Oman	Public Official	Cliff Diving	3000000	Bonus 1	Full Coverage	Legal Defense Insurance	No
3	BMW	2000	2/1/1982	5	Other	600	100000	1/1/2006	Romania	Public Official	Cliff Diving	10000000	Bonus 4	Full Coverage	Euro Protection	Yes
4	BMW	1000	3/4/2000	6	Petrol	90000	60000	8/8/1954	Cuba	Farmer	Skydiving	15000000	Bonus 5	No Coverage	Legal Defense Insurance	No
5	BMW	500	4/4/2022	7	Diesel	500	100	1/1/2006	United States	Unemployed	Other	20000000	Bonus 6	Partial Coverage	Euro Protection	Yes
6	BMW	800	2/1/2024	8	Electric Power	600	100000	8/8/1954	United Kingdom	Selfemployed	Speeding	25000000	Bonus 7	Full Coverage	Legal Defense Insurance	No
7	BMW	1567	2/1/1982	9	Petrol	90000	60000	1/1/2006	Australia	Employee	Bungee Jumping	30000000	Bonus 8	No Coverage	Euro Protection	Yes
8	BMW	1	3/4/2000	1	Diesel	500	100	8/8/1954	Canada	Public Official	Cliff Diving	35000000	Bonus 9	Partial Coverage	Legal Defense Insurance	No
9	BMW	2000	2/1/1982	2	Electric Power	100000	100000	1/1/2006	Guatemala	Farmer	Skydiving	3000000	Malus 10	Full Coverage	Euro Protection	Yes
10	BMW	1000	3/4/2000	3	Gas	50000	60000	8/8/1954	Japan	Unemployed	Other	5000000	Malus 11	No Coverage	Legal Defense Insurance	No
11	Ford	800	2/1/1982	7	Gas	600	100	8/8/1954	Romania	Employee	Cliff Diving	15000000	Bonus 6	Full Coverage	Euro Protection	No
12	Ford	1567	3/4/2000	8	Other	90000	100000	1/1/2006	Cuba	Public Official	Skydiving	20000000	Bonus 7	No Coverage	Legal Defense Insurance	Yes
13	Ford	1	4/4/2022	9	Petrol	500	60000	8/8/1954	Romania	Farmer	Other	25000000	Bonus 8	Partial Coverage	Euro Protection	No
14	Ford	2000	2/1/2024	1	Diesel	100000	100	1/1/2006	Cuba	Unemployed	Speeding	30000000	Bonus 9	Full Coverage	Legal Defense Insurance	Yes
15	Ford	1000	2/1/1982	2	Electric Power	50000	100000	8/8/1954	United States	Selfemployed	Bungee Jumping	35000000	Malus 10	No Coverage	Euro Protection	No
16	Ford	500	3/4/2000	3	Gas	600	60000	1/1/2006	United Kingdom	Employee	Cliff Diving	3000000	Malus 11	Partial Coverage	Legal Defense Insurance	Yes
17	Ford	800	4/4/2022	4	Other	90000	100	8/8/1954	Australia	Public Official	Skydiving	5000000	Malus 12	Full Coverage	Euro Protection	No
18	Ford	1567	2/1/2024	5	Petrol	500	100000	1/1/2006	Canada	Farmer	Other	7000000	Malus 13	No Coverage	Legal Defense Insurance	Yes
19	Ford	1	2/1/1982	6	Diesel	600	60000	8/8/1954	Guatemala	Unemployed	Speeding	10000000	Malus 14	Partial Coverage	Euro Protection	No
20	Ford	2000	3/4/2000	7	Electric Power	90000	100	1/1/2006	Japan	Selfemployed	Bungee Jumping	15000000	Malus 15	Full Coverage	Legal Defense Insurance	Yes
21	Ford	1000	4/4/2022	8	Petrol	500	100000	8/8/1954	Kenya	Employee	Cliff Diving	20000000	Malus 16	No Coverage	Euro Protection	No
22	Ford	500	2/1/2024	9	Diesel	100000	60000	1/1/2006	Maldives	Public Official	Skydiving	25000000	Malus 17	Partial Coverage	Legal Defense Insurance	Yes
23	Ford	800	2/1/1982	1	Electric Power	50000	100	8/8/1954	Mexico	Farmer	Other	30000000	Super Bonus	Full Coverage	Euro Protection	No
24	Ford	1567	3/4/2000	2	Gas	600	100000	1/1/2006	Panama	Unemployed	Speeding	35000000	Bonus 1	No Coverage	Legal Defense Insurance	Yes
25	Ford	1	2/1/1982	3	Other	90000	60000	8/8/1954	Qatar	Selfemployed	Bungee Jumping	3000000	Bonus 2	Partial Coverage	Euro Protection	No
26	Ford	2000	3/4/2000	4	Petrol	500	100	1/1/2006	Serbia	Employee	Cliff Diving	5000000	Bonus 3	Full Coverage	Legal Defense Insurance	Yes
27	Ford	1000	4/4/2022	5	Diesel	100000	100000	8/8/1954	Swaziland	Public Official	Speeding	7000000	Bonus 4	No Coverage	Euro Protection	No
28	Ford	500	2/1/2024	6	Electric Power	50000	60000	1/1/2006	Oman	Farmer	Bungee Jumping	10000000	Bonus 5	Partial Coverage	Legal Defense Insurance	Yes
29	Honda	1567	4/4/2022	1	Electric Power	600	100	1/1/2006	Guatemala	Selfemployed	Cliff Diving	25000000	Super Bonus	No Coverage	Euro Protection	Yes
30	Honda	1	2/1/2024	2	Gas	90000	100000	8/8/1954	Japan	Employee	Skydiving	30000000	Bonus 1	Partial Coverage	Legal Defense Insurance	No
31	Honda	2000	2/1/1982	3	Other	500	60000	1/1/2006	Kenya	Public Official	Other	35000000	Bonus 2	Full Coverage	Euro Protection	Yes
32	Honda	1000	3/4/2000	4	Petrol	600	100	8/8/1954	Maldives	Farmer	Speeding	3000000	Bonus 3	No Coverage	Legal Defense Insurance	No
33	Honda	500	4/4/2022	5	Diesel	90000	100000	1/1/2006	Mexico	Unemployed	Bungee Jumping	5000000	Bonus 4	Partial Coverage	Euro Protection	Yes
34	Honda	800	2/1/2024	6	Electric Power	500	60000	8/8/1954	Panama	Selfemployed	Cliff Diving	7000000	Bonus 5	Full Coverage	Legal Defense Insurance	No
35	Honda	1567	2/1/1982	7	Petrol	100000	100	1/1/2006	Qatar	Employee	Speeding	10000000	Bonus 6	No Coverage	Euro Protection	Yes
